Product Name,Brand,Category,Base Price (AED),Color Options,Specification Variants & Price Boosts,Short Description
Samsung Galaxy A54 5G (2023),Samsung,mobile,750,"Awesome Lime, Awesome Graphite, Awesome Violet, Awesome White",128GB / 8GB RAM (+AED 0); 256GB / 8GB RAM (+AED 100),"Premium glass back design, Nightography camera, 6.4"" 120Hz Super AMOLED."
Samsung Galaxy Tab S9 Ultra (2023),Samsung,tablets,2900,"Beige, Graphite",256GB / 12GB RAM (Wi-Fi) (+AED 0); 512GB / 12GB RAM (5G) (+AED 400); 1TB / 16GB RAM (5G) (+AED 900),"Massive 14.6"" Dynamic AMOLED 2X, S Pen included, IP68 water resistance."
Samsung Galaxy Tab S9+ (2023),Samsung,tablets,2300,"Beige, Graphite",256GB / 12GB RAM (Wi-Fi) (+AED 0); 512GB / 12GB RAM (5G) (+AED 350),"12.4"" Dynamic AMOLED 2X, Snapdragon 8 Gen 2 for Galaxy."
Samsung Galaxy Tab S9 (2023),Samsung,tablets,1800,"Beige, Graphite",128GB / 8GB RAM (Wi-Fi) (+AED 0); 256GB / 12GB RAM (5G) (+AED 300),"11.0"" Dynamic AMOLED 2X, 8400mAh battery, S Pen in box."
Samsung Galaxy Tab S9 FE / FE+ (2023),Samsung,tablets,1200,"Mint, Silver, Gray, Lavender",128GB / 6GB RAM (+AED 0); 256GB / 8GB RAM (+AED 200),"10.9"" / 12.4"" display, S Pen inbox, IP68 water resistance."
Samsung Galaxy Watch 6 Classic (2023),Samsung,smartwatches,650,"Black, Silver",43mm (Bluetooth) (+AED 0); 43mm (LTE) (+AED 100); 47mm (Bluetooth) (+AED 120); 47mm (LTE) (+AED 220),"Rotating physical bezel, Sapphire Crystal glass, Advanced Sleep Tracking."
Samsung Galaxy Watch 6 (2023),Samsung,smartwatches,500,"Graphite, Silver, Gold",40mm (Bluetooth) (+AED 0); 40mm (LTE) (+AED 80); 44mm (Bluetooth) (+AED 100); 44mm (LTE) (+AED 180),"20% larger display, slimmer bezel, One-Click band system."
Samsung Galaxy Watch 5 Pro (2022),Samsung,smartwatches,550,"Black Titanium, Gray Titanium",45mm (Bluetooth) (+AED 0); 45mm (LTE) (+AED 120),"Titanium case, D-Buckle Sport Band, 590mAh battery, Route GPX navigation."
Samsung Galaxy Book 4 Ultra (2024),Samsung,laptops,5800,Moonstone Gray,16GB RAM / 512GB SSD / RTX 4050 (+AED 0); 32GB RAM / 1TB SSD / RTX 4070 (+AED 1200),"Intel Core Ultra 7/9 processor, NVIDIA RTX 40-series GPU, 16"" 3K AMOLED Touch."
"Samsung Galaxy Book 4 Pro 16"" / 14"" (2024)",Samsung,laptops,4100,"Moonstone Gray, Platinum Silver",16GB RAM / 512GB SSD (+AED 0); 16GB RAM / 1TB SSD (+AED 450); 32GB RAM / 1TB SSD (+AED 900),"Intel Core Ultra 7 processor, Dynamic AMOLED 2X Touchscreen, Vision Booster."
