Product ID,Product Name,Brand,Category,Base Price (AED),RAM / Storage Spec Variants & Price Boosts,Available Colors,Short Description,Full Description,Front View Image Path,Side View Image Path,Back View Image Path
"LAP-301","HP Spectre x360 14 (2024)","HP","Laptops","3400","16GB RAM / 512GB SSD (+AED 0) | 16GB RAM / 1TB SSD (+AED 450) | 32GB RAM / 2TB SSD (+AED 1200)","Nightfall Black, Slate Blue, Sahara Silver","2-in-1 14-inch 2.8K 120Hz OLED convertible with Intel Core Ultra 7 & haptic trackpad.","Flagship 2-in-1 convertible laptop. 14-inch 2.8K OLED 120Hz variable refresh touchscreen, Intel Core Ultra 7 processor with AI engine, 9MP camera with hardware shutter, and Poly Studio audio.","/products/hp-spectre14-front.webp","/products/hp-spectre14-side.webp","/products/hp-spectre14-back.webp"
"LAP-302","HP OMEN 16 Gaming Laptop (2024)","HP","Laptops","3600","undefined","Shadow Black","Intel i7-14700HX / RTX 4070 gaming notebook with 165Hz QHD display.","High-performance gaming equipped with 14th Gen Intel Core i7-14700HX, NVIDIA GeForce RTX 4070, Tempest Cooling 5-way airflow, and RGB per-key keyboard.","/products/hp-omen16-front.webp","/products/hp-omen16-side.webp","/products/hp-omen16-back.webp"
"LAP-303","HP Envy x360 15 (2023)","HP","Laptops","2200","16GB RAM / 512GB SSD (+AED 0) | 16GB RAM / 1TB SSD (+AED 400)","Nightfall Black, Natural Silver","15.6-inch OLED touchscreen 2-in-1 with AMD Ryzen 7 / Intel Core i7.","Versatile 15.6-inch convertible featuring IMAX Enhanced OLED touch display, Bang & Olufsen tuned quad speakers, and HP QuickDrop wireless file sharing.","/products/hp-envy15-front.webp","/products/hp-envy15-side.webp","/products/hp-envy15-back.webp"
"LAP-304","HP EliteBook 840 G10 (2023)","HP","Laptops","2800","16GB RAM / 512GB SSD (+AED 0) | 32GB RAM / 1TB SSD (+AED 700)","Pike Silver","14-inch enterprise business laptop with Intel vPro & Sure View privacy screen.","Commercial enterprise notebook with 13th Gen Intel Core vPro processors, HP Wolf Security, 5MP Auto Frame camera, and lightweight magnesium chassis.","/products/hp-elitebook-front.webp","/products/hp-elitebook-side.webp","/products/hp-elitebook-back.webp"
"LAP-401","Lenovo ThinkPad X1 Carbon Gen 12 (2024)","Lenovo","Laptops","4500","16GB RAM / 512GB SSD (+AED 0) | 32GB RAM / 1TB SSD (+AED 900) | 64GB RAM / 2TB SSD (+AED 2100)","Eclipse Black Carbon","Ultralight 14-inch 2.8K OLED business flagship with Intel Core Ultra & Communications Bar.","The premier business laptop. 14-inch 2.8K 120Hz OLED screen, carbon fiber weave body, haptic glass TouchPad, Intel Core Ultra 7 processor, and legendary TrackPoint keyboard.","/products/lenovo-x1gen12-front.webp","/products/lenovo-x1gen12-side.webp","/products/lenovo-x1gen12-back.webp"
"LAP-402","Lenovo Legion Pro 7i (2024)","Lenovo","Laptops","5800","32GB RAM / 1TB SSD / RTX 4080 (+AED 0) | 32GB RAM / 2TB SSD / RTX 4090 (+AED 2400)","Eclipse Gray","Ultra gaming flagship with Intel i9-14900HX, RTX 4080/4090 & 240Hz 500 nits display.","Lenovo's ultimate gaming machine. Powered by Intel Core i9-14900HX, NVIDIA RTX 4080/4090 GPU, LA2-Q AI chip, Legion Coldfront Vapor chamber cooling, and 240Hz WQXGA display.","/products/lenovo-legion7i-front.webp","/products/lenovo-legion7i-side.webp","/products/lenovo-legion7i-back.webp"
"LAP-403","Lenovo Yoga Book 9i Dual OLED (2023/2024)","Lenovo","Laptops","4900","16GB RAM / 512GB SSD (+AED 0) | 16GB RAM / 1TB SSD (+AED 600)","Tidal Teal","World's first full-size dual-screen 13.3-inch 2.8K OLED laptop with folio stand & pen.","Revolutionary dual 13.3-inch 2.8K OLED touchscreens. Use in Laptop, Dual Screen, Tablet, or Book mode with included Bluetooth keyboard, Digital Pen 2, and Bowers & Wilkins soundbar hinge.","/products/lenovo-yogabook9i-front.webp","/products/lenovo-yogabook9i-side.webp","/products/lenovo-yogabook9i-back.webp"
"LAP-404","Lenovo Legion Pro 5 (2023)","Lenovo","Laptops","3200","16GB RAM / 512GB SSD (+AED 0) | 16GB RAM / 1TB SSD / RTX 4060 (+AED 600)","Onyx Grey","AMD Ryzen 7 7745HX & RTX 4060 gaming notebook with 240Hz screen.","AI-tuned gaming notebook featuring AMD Ryzen 7 processor, NVIDIA GeForce RTX 4060, Legion Coldfront 5.0 thermal tuning, and 16-inch WQXGA 240Hz panel.","/products/lenovo-legion5-front.webp","/products/lenovo-legion5-side.webp","/products/lenovo-legion5-back.webp"
"LAP-501","Asus ROG Zephyrus G16 OLED (2024)","Asus","Laptops","5100","16GB RAM / 1TB SSD (+AED 0) | 32GB RAM / 1TB SSD / RTX 4070 (+AED 1100) | 32GB RAM / 2TB SSD / RTX 4080 (+AED 2600)","Eclipse Gray, Platinum White","0.59-inch ultra-slim CNC gaming laptop with 2.5K 240Hz ROG Nebula OLED display.","Impossibly thin CNC aluminum chassis with Slash Lighting array. 16-inch 2.5K 240Hz ROG Nebula OLED display, Intel Core Ultra 9 185H, RTX 4070/4080 graphics, and tri-fan thermal tech.","/products/asus-zephyrusg16-front.webp","/products/asus-zephyrusg16-side.webp","/products/asus-zephyrusg16-back.webp"
"LAP-502","Asus Zenbook 14 OLED (2024)","Asus","Laptops","2800","16GB RAM / 512GB SSD (+AED 0) | 16GB RAM / 1TB SSD (+AED 450) | 32GB RAM / 1TB SSD (+AED 900)","Ponder Blue, Foggy Silver","Ultra-thin 1.2kg laptop with 3K 120Hz ASUS Lumina OLED & Intel Core Ultra 7.","Lightweight 1.2 kg all-metal chassis. 14-inch 3K 120Hz ASUS Lumina OLED display, Intel Core Ultra 7 with AI Boost NPU, 75Wh long-lasting battery, and Harman Kardon audio.","/products/asus-zenbook14-front.webp","/products/asus-zenbook14-side.webp","/products/asus-zenbook14-back.webp"
"LAP-503","Asus ROG Strix SCAR 18 (2024)","Asus","Laptops","6900","32GB RAM / 2TB SSD / RTX 4080 (+AED 0) | 64GB RAM / 2TB SSD / RTX 4090 (+AED 2800)","Off Black","18-inch 2.5K 240Hz Mini LED gaming titan with Intel i9-14900HX & RTX 4090.","Dominant 18-inch ROG Nebula HDR Mini LED display with 2000+ dimming zones, Intel Core i9-14900HX, NVIDIA RTX 4090, Conductonaut Extreme liquid metal thermal compound.","/products/asus-scar18-front.webp","/products/asus-scar18-side.webp","/products/asus-scar18-back.webp"
"LAP-504","Asus TUF Gaming A15 (2023)","Asus","Laptops","2400","16GB RAM / 512GB SSD (+AED 0) | 16GB RAM / 1TB SSD / RTX 4060 (+AED 550)","Mecha Gray","Military-grade durable gaming laptop with AMD Ryzen 7 7735HS & RTX 4060.","MIL-STD-810H military toughness with AMD Ryzen 7 7735HS processor, NVIDIA RTX 4060 GPU with MUX Switch & Advanced Optimus, 144Hz FHD screen, and 90Wh battery.","/products/asus-tufa15-front.webp","/products/asus-tufa15-side.webp","/products/asus-tufa15-back.webp"
"LAP-601","Razer Blade 16 (2024)","Razer","Laptops","6200","32GB RAM / 1TB SSD / RTX 4080 (+AED 0) | 32GB RAM / 2TB SSD / RTX 4090 (+AED 2500)","Anodized Black, Mercury White","World's first 240Hz 16-inch OLED display with Intel i9-14900HX & RTX 4080/4090.","Crafted from a single CNC aluminum block. World's first 16-inch 240Hz QHD+ OLED display, Intel Core i9-14900HX, RTX 4080/4090 GPU, and patented vapor chamber cooling.","/products/razer-blade16-front.webp","/products/razer-blade16-side.webp","/products/razer-blade16-back.webp"
"LAP-602","Acer Predator Helios 16 (2024)","Acer","Laptops","3800","16GB RAM / 1TB SSD / RTX 4070 (+AED 0) | 32GB RAM / 1TB SSD / RTX 4080 (+AED 1400)","Abyssal Black","16-inch 240Hz WQXGA gaming notebook with 14th Gen Intel i9 & RTX 4070/4080.","High-performance gaming machine with 14th Gen Intel Core i9, RTX 4070/4080 GPU, 5th Gen AeroBlade 3D fan cooling, and customizable RGB lighting bar.","/products/acer-helios16-front.webp","/products/acer-helios16-side.webp","/products/acer-helios16-back.webp"
