Product Model Name,Brand,Category,Base Price (AED),Variant Spec / UOM,Spec Boost (AED),Total Valuation (AED),Colors
Samsung Galaxy S21 FE 5G (2022),Samsung,mobile,750,128GB / 6GB RAM,0,750,"Olive, Lavender, White, Graphite"
Samsung Galaxy S21 FE 5G (2022),Samsung,mobile,750,256GB / 8GB RAM,100,850,"Olive, Lavender, White, Graphite"
Samsung Galaxy Z Fold 6 (2024),Samsung,mobile,4200,256GB / 12GB RAM,0,4200,"Silver Shadow, Pink, Navy"
Samsung Galaxy Z Fold 6 (2024),Samsung,mobile,4200,512GB / 12GB RAM,450,4650,"Silver Shadow, Pink, Navy"
Samsung Galaxy Z Fold 6 (2024),Samsung,mobile,4200,1TB / 12GB RAM,900,5100,"Silver Shadow, Pink, Navy"
Samsung Galaxy Z Flip 6 (2024),Samsung,mobile,2700,256GB / 12GB RAM,0,2700,"Silver Shadow, Yellow, Blue, Mint"
Samsung Galaxy Z Flip 6 (2024),Samsung,mobile,2700,512GB / 12GB RAM,350,3050,"Silver Shadow, Yellow, Blue, Mint"
Samsung Galaxy Z Fold 5 (2023),Samsung,mobile,3100,256GB / 12GB RAM,0,3100,"Icy Blue, Phantom Black, Cream"
Samsung Galaxy Z Fold 5 (2023),Samsung,mobile,3100,512GB / 12GB RAM,350,3450,"Icy Blue, Phantom Black, Cream"
Samsung Galaxy Z Fold 5 (2023),Samsung,mobile,3100,1TB / 12GB RAM,750,3850,"Icy Blue, Phantom Black, Cream"
Samsung Galaxy Z Flip 5 (2023),Samsung,mobile,1800,256GB / 8GB RAM,0,1800,"Mint, Graphite, Cream, Lavender"
Samsung Galaxy Z Flip 5 (2023),Samsung,mobile,1800,512GB / 8GB RAM,250,2050,"Mint, Graphite, Cream, Lavender"
Samsung Galaxy Z Fold 4 (2022),Samsung,mobile,2200,256GB / 12GB RAM,0,2200,"Graygreen, Phantom Black, Beige"
Samsung Galaxy Z Fold 4 (2022),Samsung,mobile,2200,512GB / 12GB RAM,250,2450,"Graygreen, Phantom Black, Beige"
Samsung Galaxy Z Fold 4 (2022),Samsung,mobile,2200,1TB / 12GB RAM,550,2750,"Graygreen, Phantom Black, Beige"
Samsung Galaxy A55 5G (2024),Samsung,mobile,950,128GB / 8GB RAM,0,950,"Awesome Iceblue, Awesome Lilac, Awesome Lemon, Awesome Navy"
Samsung Galaxy A55 5G (2024),Samsung,mobile,950,256GB / 8GB RAM,120,1070,"Awesome Iceblue, Awesome Lilac, Awesome Lemon, Awesome Navy"
Samsung Galaxy A55 5G (2024),Samsung,mobile,950,256GB / 12GB RAM,220,1170,"Awesome Iceblue, Awesome Lilac, Awesome Lemon, Awesome Navy"
Samsung Galaxy A35 5G (2024),Samsung,mobile,720,128GB / 6GB RAM,0,720,"Awesome Iceblue, Awesome Lilac, Awesome Lemon, Awesome Navy"
Samsung Galaxy A35 5G (2024),Samsung,mobile,720,128GB / 8GB RAM,80,800,"Awesome Iceblue, Awesome Lilac, Awesome Lemon, Awesome Navy"
Samsung Galaxy A35 5G (2024),Samsung,mobile,720,256GB / 8GB RAM,150,870,"Awesome Iceblue, Awesome Lilac, Awesome Lemon, Awesome Navy"
Samsung Galaxy A54 5G (2023),Samsung,mobile,750,128GB / 8GB RAM,0,750,"Awesome Lime, Awesome Graphite, Awesome Violet, Awesome White"
Samsung Galaxy A54 5G (2023),Samsung,mobile,750,256GB / 8GB RAM,100,850,"Awesome Lime, Awesome Graphite, Awesome Violet, Awesome White"
Samsung Galaxy Tab S9 Ultra (2023),Samsung,tablets,2900,256GB / 12GB RAM (Wi-Fi),0,2900,"Beige, Graphite"
Samsung Galaxy Tab S9 Ultra (2023),Samsung,tablets,2900,512GB / 12GB RAM (5G),400,3300,"Beige, Graphite"
Samsung Galaxy Tab S9 Ultra (2023),Samsung,tablets,2900,1TB / 16GB RAM (5G),900,3800,"Beige, Graphite"
Samsung Galaxy Tab S9+ (2023),Samsung,tablets,2300,256GB / 12GB RAM (Wi-Fi),0,2300,"Beige, Graphite"
Samsung Galaxy Tab S9+ (2023),Samsung,tablets,2300,512GB / 12GB RAM (5G),350,2650,"Beige, Graphite"
Samsung Galaxy Tab S9 (2023),Samsung,tablets,1800,128GB / 8GB RAM (Wi-Fi),0,1800,"Beige, Graphite"
Samsung Galaxy Tab S9 (2023),Samsung,tablets,1800,256GB / 12GB RAM (5G),300,2100,"Beige, Graphite"
Samsung Galaxy Tab S9 FE / FE+ (2023),Samsung,tablets,1200,128GB / 6GB RAM,0,1200,"Mint, Silver, Gray, Lavender"
Samsung Galaxy Tab S9 FE / FE+ (2023),Samsung,tablets,1200,256GB / 8GB RAM,200,1400,"Mint, Silver, Gray, Lavender"
Samsung Galaxy Watch 6 Classic (2023),Samsung,smartwatches,650,43mm (Bluetooth),0,650,"Black, Silver"
Samsung Galaxy Watch 6 Classic (2023),Samsung,smartwatches,650,43mm (LTE),100,750,"Black, Silver"
Samsung Galaxy Watch 6 Classic (2023),Samsung,smartwatches,650,47mm (Bluetooth),120,770,"Black, Silver"
Samsung Galaxy Watch 6 Classic (2023),Samsung,smartwatches,650,47mm (LTE),220,870,"Black, Silver"
Samsung Galaxy Watch 6 (2023),Samsung,smartwatches,500,40mm (Bluetooth),0,500,"Graphite, Silver, Gold"
Samsung Galaxy Watch 6 (2023),Samsung,smartwatches,500,40mm (LTE),80,580,"Graphite, Silver, Gold"
Samsung Galaxy Watch 6 (2023),Samsung,smartwatches,500,44mm (Bluetooth),100,600,"Graphite, Silver, Gold"
Samsung Galaxy Watch 6 (2023),Samsung,smartwatches,500,44mm (LTE),180,680,"Graphite, Silver, Gold"
Samsung Galaxy Watch 5 Pro (2022),Samsung,smartwatches,550,45mm (Bluetooth),0,550,"Black Titanium, Gray Titanium"
Samsung Galaxy Watch 5 Pro (2022),Samsung,smartwatches,550,45mm (LTE),120,670,"Black Titanium, Gray Titanium"
Samsung Galaxy Book 4 Ultra (2024),Samsung,laptops,5800,16GB RAM / 512GB SSD / RTX 4050,0,5800,Moonstone Gray
Samsung Galaxy Book 4 Ultra (2024),Samsung,laptops,5800,32GB RAM / 1TB SSD / RTX 4070,1200,7000,Moonstone Gray
"Samsung Galaxy Book 4 Pro 16"" / 14"" (2024)",Samsung,laptops,4100,16GB RAM / 512GB SSD,0,4100,"Moonstone Gray, Platinum Silver"
"Samsung Galaxy Book 4 Pro 16"" / 14"" (2024)",Samsung,laptops,4100,16GB RAM / 1TB SSD,450,4550,"Moonstone Gray, Platinum Silver"
"Samsung Galaxy Book 4 Pro 16"" / 14"" (2024)",Samsung,laptops,4100,32GB RAM / 1TB SSD,900,5000,"Moonstone Gray, Platinum Silver"
