Product ID,Product Name,Brand,Category,Base Price (AED),Screen Size Options & Price Boosts,Available Colors,Short Description,Full Description,Front View Image Path,Side View Image Path,Back View Image Path
"TV-205","LG QNED80 4K QNED Smart TV (2023)","LG","TVs","1750","55 Inch (+AED 0) | 65 Inch (+AED 650) | 75 Inch (+AED 1500)","Ashen Blue","Quantum Dot NanoCell 4K TV with α7 AI Processor Gen6 & 120Hz.","Combines Quantum Dot and NanoCell technologies for rich, vibrant colors. Features Dimming Pro, 120Hz native refresh rate, and Game Optimizer.","/products/lg-qned80-front.webp","/products/lg-qned80-side.webp","/products/lg-qned80-back.webp"
"TV-301","Sony BRAVIA 8 OLED 4K Smart TV (2024)","Sony","TVs","4400","55 Inch (+AED 0) | 65 Inch (+AED 1500) | 77 Inch (+AED 3600)","Black","2024 BRAVIA OLED with XR Processor & Acoustic Surface Audio+.","Sony's 2024 BRAVIA OLED powered by XR Processor with Scene Recognition. Features Acoustic Surface Audio+ (screen is the speaker), Voice Zoom 3, and perfect integration with PlayStation 5.","/products/sony-bravia8-front.webp","/products/sony-bravia8-side.webp","/products/sony-bravia8-back.webp"
"TV-302","Sony BRAVIA 9 Mini LED 4K TV (2024)","Sony","TVs","5500","65 Inch (+AED 0) | 75 Inch (+AED 2400) | 85 Inch (+AED 4800)","Black","Sony's brightest 4K TV ever with High Peak Luminance Mini LED & XR Backlight Master Drive.","The ultimate flagship Mini LED TV. Features XR Backlight Master Drive with world-leading backlight control, Beam Tweeter audio, Studio Calibrated modes, and 4K 120Hz HDMI 2.1.","/products/sony-bravia9-front.webp","/products/sony-bravia9-side.webp","/products/sony-bravia9-back.webp"
"TV-303","Sony BRAVIA XR A80L OLED TV (2023)","Sony","TVs","3300","55 Inch (+AED 0) | 65 Inch (+AED 1100) | 77 Inch (+AED 2700) | 83 Inch (+AED 4500)","Black","Cognitive Processor XR OLED TV with XR OLED Contrast Pro & Google TV.","Cognitive Processor XR delivers pure OLED blacks and intense highlights. Features Acoustic Surface Audio+, Auto HDR Tone Mapping for PS5, and hands-free Google Assistant.","/products/sony-a80l-front.webp","/products/sony-a80l-side.webp","/products/sony-a80l-back.webp"
"TV-304","Sony BRAVIA XR X90L Full Array LED (2023)","Sony","TVs","2300","55 Inch (+AED 0) | 65 Inch (+AED 700) | 75 Inch (+AED 1600) | 85 Inch (+AED 3100)","Dark Silver","Full Array LED 4K TV with Cognitive Processor XR & 120Hz.","Full Array LED with local dimming controlled by Cognitive Processor XR. Perfect for PS5 gaming with Auto Game Mode, HDMI 2.1 4K 120, and VRR.","/products/sony-x90l-front.webp","/products/sony-x90l-side.webp","/products/sony-x90l-back.webp"
"TV-305","Sony BRAVIA XR A80K OLED TV (2022)","Sony","TVs","2500","55 Inch (+AED 0) | 65 Inch (+AED 900) | 77 Inch (+AED 2200)","Titan Black","2022 Cognitive Processor XR OLED TV with Acoustic Surface Audio+.","OLED display with Cognitive Processor XR, XR OLED Contrast Pro, Google TV smart platform, and BRAVIA CAM support.","/products/sony-a80k-front.webp","/products/sony-a80k-side.webp","/products/sony-a80k-back.webp"
"TV-401","TCL QM8 QD-Mini LED 4K Smart TV (2024)","TCL","TVs","3200","65 Inch (+AED 0) | 75 Inch (+AED 1400) | 85 Inch (+AED 2800) | 98 Inch (+AED 6500)","Black Metallic","5000+ Nits Peak Brightness QD-Mini LED 4K TV with 144Hz VRR & Onkyo 2.1.2 Audio.","TCL's flagship 2024 QD-Mini LED TV. Boasts up to 5,000 nits peak brightness, 5,000+ local dimming zones, AIPQ Ultra Processor, 144Hz VRR Game Accelerator 240, and Onkyo 2.1.2 sound system.","/products/tcl-qm8-front.webp","/products/tcl-qm8-side.webp","/products/tcl-qm8-back.webp"
"TV-402","TCL C845 Mini LED 4K TV (2023)","TCL","TVs","2400","55 Inch (+AED 0) | 65 Inch (+AED 800) | 75 Inch (+AED 1800) | 85 Inch (+AED 3200)","Titanium","2000 Nits Mini LED 4K TV with Quantum Dot & 144Hz VRR.","Mini LED technology with Quantum Dot color, 2000 nits HDR brightness, AiPQ Processor 3.0, 144Hz VRR, Dolby Vision IQ, and IMAX Enhanced certification.","/products/tcl-c845-front.webp","/products/tcl-c845-side.webp","/products/tcl-c845-back.webp"
"TV-403","TCL C745 QLED Gaming TV (2023)","TCL","TVs","1650","55 Inch (+AED 0) | 65 Inch (+AED 550) | 75 Inch (+AED 1300)","Dark Gray","QLED 4K TV with 144Hz Full Array Local Dimming & Game Master 2.0.","Engineered for gamers. QLED 1 billion colors, Full Array Local Dimming, 144Hz native refresh rate, AMD FreeSync Premium Pro, and Google TV.","/products/tcl-c745-front.webp","/products/tcl-c745-side.webp","/products/tcl-c745-back.webp"
"TV-404","TCL C835 Mini LED 4K TV (2022)","TCL","TVs","1900","55 Inch (+AED 0) | 65 Inch (+AED 650) | 75 Inch (+AED 1500)","Black","2022 Mini LED 4K TV with 144Hz VRR & Onkyo 2.1 Sound.","Mini LED + QLED technology, 144Hz VRR refresh rate, Dolby Vision IQ, HDR10+, Onkyo 2.1 channel sound system, and Google TV platform.","/products/tcl-c835-front.webp","/products/tcl-c835-side.webp","/products/tcl-c835-back.webp"
"TV-405","TCL P735 4K HDR Google TV (2022)","TCL","TVs","950","50 Inch (+AED 0) | 55 Inch (+AED 200) | 65 Inch (+AED 500) | 75 Inch (+AED 1100)","Black Metallic","Edgeless 4K HDR Smart TV with Wide Color Gamut & Dolby Vision.","Edgeless metallic frame design, 4K HDR with Wide Color Gamut, Dolby Vision & Dolby Atmos, MEMC motion clarity, and Google TV with hands-free voice control.","/products/tcl-p735-front.webp","/products/tcl-p735-side.webp","/products/tcl-p735-back.webp"
