Product Model Name,Brand,Category,Base Price (AED),Variant Spec / Processor & RAM & SSD,Spec Boost (AED),Total Valuation (AED),Colors
Dell Alienware M17x R3 / R4 / 18 (2011-2015),Dell,laptops,850,16GB RAM / 512GB SSD / GTX 880M SLI,300,1150,"Stealth Black, Nebula Red"
Dell Latitude 7440 / 7430 (2022-2023),Dell,laptops,2400,16GB RAM / 512GB SSD,0,2400,"Titan Gray, Aluminum Silver"
Dell Latitude 7440 / 7430 (2022-2023),Dell,laptops,2400,32GB RAM / 1TB SSD,450,2850,"Titan Gray, Aluminum Silver"
Dell Latitude 5440 / 5430 (2022-2023),Dell,laptops,1800,8GB RAM / 256GB SSD,0,1800,Gray
Dell Latitude 5440 / 5430 (2022-2023),Dell,laptops,1800,16GB RAM / 512GB SSD,250,2050,Gray
Dell Latitude 5440 / 5430 (2022-2023),Dell,laptops,1800,32GB RAM / 1TB SSD,500,2300,Gray
Dell Latitude 7400 / 7490 / 7480 (2017-2019),Dell,laptops,1100,8GB RAM / 256GB SSD,0,1100,Black Carbon Fiber
Dell Latitude 7400 / 7490 / 7480 (2017-2019),Dell,laptops,1100,16GB RAM / 512GB SSD,200,1300,Black Carbon Fiber
Dell Latitude E7470 / E7450 / E7440 (2014-2016),Dell,laptops,650,8GB RAM / 256GB SSD,0,650,Black
Dell Latitude E7470 / E7450 / E7440 (2014-2016),Dell,laptops,650,16GB RAM / 512GB SSD,150,800,Black
Dell Latitude E6430 / E6420 / E6410 (2010-2013),Dell,laptops,400,4GB RAM / 320GB HDD,0,400,Brushed Aluminum Gray
Dell Latitude E6430 / E6420 / E6410 (2010-2013),Dell,laptops,400,8GB RAM / 256GB SSD,120,520,Brushed Aluminum Gray
Dell G15 5530 / G16 7630 Gaming (2023-2024),Dell,laptops,2900,16GB RAM / 512GB SSD / RTX 4050,0,2900,"Dark Shadow Gray, Quantum White"
Dell G15 5530 / G16 7630 Gaming (2023-2024),Dell,laptops,2900,16GB RAM / 1TB SSD / RTX 4060,450,3350,"Dark Shadow Gray, Quantum White"
Dell G15 5530 / G16 7630 Gaming (2023-2024),Dell,laptops,2900,32GB RAM / 1TB SSD / RTX 4070,950,3850,"Dark Shadow Gray, Quantum White"
Dell Inspiron 16 Plus 7630 / 7620 (2022-2023),Dell,laptops,2200,16GB RAM / 512GB SSD / RTX 3050,0,2200,"Dark Green, Ice Blue"
Dell Inspiron 16 Plus 7630 / 7620 (2022-2023),Dell,laptops,2200,32GB RAM / 1TB SSD / RTX 4060,600,2800,"Dark Green, Ice Blue"
Dell Inspiron 15 3511 / 5510 / 5502 (2020-2022),Dell,laptops,1200,8GB RAM / 256GB SSD,0,1200,"Carbon Black, Platinum Silver"
Dell Inspiron 15 3511 / 5510 / 5502 (2020-2022),Dell,laptops,1200,16GB RAM / 512GB SSD,200,1400,"Carbon Black, Platinum Silver"
Dell Inspiron 15 7000 Gaming 7567 / 7577 (2016-2018),Dell,laptops,950,8GB RAM / 128GB SSD + 1TB HDD / GTX 1050,0,950,"Matte Black, Beijing Red"
Dell Inspiron 15 7000 Gaming 7567 / 7577 (2016-2018),Dell,laptops,950,16GB RAM / 512GB SSD / GTX 1060 Max-Q,250,1200,"Matte Black, Beijing Red"
Dell Inspiron 15R 5520 / N5110 / N5010 (2010-2013),Dell,laptops,350,4GB RAM / 500GB HDD,0,350,"Switch Changeable Lids (Black, Red, Blue)"
Dell Inspiron 15R 5520 / N5110 / N5010 (2010-2013),Dell,laptops,350,8GB RAM / 246GB SSD,100,450,"Switch Changeable Lids (Black, Red, Blue)"
Dell Precision 5680 / 5570 Mobile Workstation (2022-2023),Dell,laptops,4200,32GB RAM / 512GB SSD / RTX A2000,0,4200,Titan Gray
Dell Precision 5680 / 5570 Mobile Workstation (2022-2023),Dell,laptops,4200,32GB RAM / 1TB SSD / RTX A3500,800,5000,Titan Gray
Dell Precision 5680 / 5570 Mobile Workstation (2022-2023),Dell,laptops,4200,64GB RAM / 2TB SSD / RTX 5000 Ada,2100,6300,Titan Gray
Dell Precision 7550 / 7530 Workstation (2018-2020),Dell,laptops,2100,16GB RAM / 512GB SSD / Quadro T2000,0,2100,Aluminum Silver
Dell Precision 7550 / 7530 Workstation (2018-2020),Dell,laptops,2100,32GB RAM / 1TB SSD / Quadro RTX 4000,650,2750,Aluminum Silver
Dell Precision 7550 / 7530 Workstation (2018-2020),Dell,laptops,2100,64GB RAM / 2TB SSD / Quadro RTX 5000,1300,3400,Aluminum Silver
Dell Precision M4800 / M4600 Workstation (2011-2014),Dell,laptops,750,8GB RAM / 500GB HDD / Quadro K1100M,0,750,Coventry Brown Metallic
Dell Precision M4800 / M4600 Workstation (2011-2014),Dell,laptops,750,16GB RAM / 512GB SSD / Quadro K2100M,200,950,Coventry Brown Metallic
